iter	MAE
0	29657.76921
1	29648.32763
2	29628.95193
3	29626.243
4	29610.72079
5	29604.51287
6	29596.38286
7	29593.6808
8	29588.5718
9	29570.27101
10	29567.58029
11	29539.47089
12	29529.79041
13	29518.37791
14	29507.47909
15	29485.74589
16	29473.93819
17	29469.47573
18	29456.86923
19	29444.45287
20	29422.72252
21	29416.91813
22	29405.70748
23	29382.03152
24	29360.18615
25	29329.02374
26	29326.80148
27	29315.79794
28	29289.19824
29	29272.79587
30	29261.87125
31	29244.88698
32	29233.81935
33	29200.97471
34	29175.86121
35	29156.42194
36	29149.5152
37	29146.12275
38	29136.35958
39	29131.18429
40	29114.41513
41	29109.59218
42	29077.19461
43	29068.00029
44	29064.70547
45	29062.30125
46	29037.33509
47	29019.04577
48	28994.06217
49	28976.45796
50	28967.75161
51	28951.17496
52	28935.91361
53	28923.18333
54	28908.49505
55	28897.54971
56	28892.55943
57	28877.50264
58	28867.53464
59	28852.84123
60	28833.61084
61	28822.08533
62	28809.90254
63	28773.19225
64	28762.20585
65	28754.56116
66	28739.88331
67	28732.11845
68	28721.29992
69	28716.10924
70	28709.65348
71	28704.64381
72	28699.9639
73	28685.6535
74	28684.26147
75	28681.19001
76	28658.55353
77	28642.5279
78	28634.97236
79	28629.31106
80	28602.19035
81	28568.71723
82	28557.71229
83	28542.39226
84	28525.1734
85	28514.57962
86	28496.22925
87	28481.87249
88	28463.0977
89	28435.4877
90	28427.62401
91	28411.09036
92	28392.93768
93	28390.12028
94	28379.10751
95	28364.02329
96	28344.52383
97	28319.18692
98	28281.3771
99	28246.72805
100	28233.81528
101	28172.68774
102	28151.89392
103	28133.34351
104	28119.47507
105	28099.19153
106	28081.94862
107	28063.79383
108	28058.50705
109	28033.1466
110	28020.56747
111	28017.02657
112	28006.67996
113	27994.99099
114	27986.70325
115	27980.09516
116	27956.94087
117	27951.28281
118	27942.45663
119	27930.38478
120	27920.57653
121	27918.61086
122	27907.73354
123	27903.07754
124	27887.48228
125	27875.00301
126	27866.24864
127	27838.88986
128	27829.03498
129	27801.52398
130	27796.60743
131	27778.31854
132	27770.4767
133	27756.67377
134	27748.20745
135	27707.96822
136	27696.17155
137	27685.1251
138	27679.67981
139	27675.59224
140	27665.72858
141	27644.48623
142	27634.29807
143	27622.07275
144	27609.80024
145	27600.73547
146	27584.03743
147	27563.90363
148	27555.29041
149	27547.8645
150	27520.13474
151	27512.68171
152	27497.48566
153	27489.80165
154	27453.91834
155	27439.8435
156	27421.28742
157	27401.67036
158	27396.19384
159	27392.43863
160	27380.77041
161	27367.09444
162	27364.42979
163	27348.19128
164	27330.91105
165	27323.96052
166	27312.28409
167	27292.18784
168	27275.68946
169	27260.27072
170	27254.98187
171	27242.12443
172	27232.9703
173	27230.13256
174	27217.36258
175	27211.15789
176	27190.27705
177	27187.22052
178	27174.29392
179	27166.60901
180	27147.92905
181	27141.15415
182	27134.16958
183	27122.09266
184	27113.07864
185	27106.26878
186	27098.50249
