iter	Passed	Remaining
0	5	5214
1	8	4418
2	12	3990
3	15	3777
4	19	3844
5	23	3892
6	26	3770
7	29	3665
8	32	3605
9	35	3556
10	38	3501
11	41	3451
12	44	3415
13	48	3390
14	51	3370
15	54	3348
16	57	3319
17	60	3294
18	63	3287
19	66	3274
20	69	3253
21	72	3238
22	75	3226
23	78	3211
24	82	3209
25	85	3196
26	88	3180
27	91	3171
28	94	3154
29	97	3143
30	100	3130
31	103	3120
32	106	3106
33	109	3099
34	112	3105
35	115	3099
36	118	3092
37	121	3087
38	125	3084
39	128	3074
40	131	3070
41	134	3067
42	138	3071
43	141	3068
44	144	3065
45	147	3061
46	150	3058
47	154	3058
48	157	3061
49	161	3062
50	164	3057
51	167	3054
52	170	3054
53	174	3050
54	177	3051
55	180	3045
56	183	3037
57	186	3030
58	189	3026
59	192	3022
60	196	3019
61	199	3011
62	202	3005
63	205	2999
64	207	2991
65	211	2987
66	214	2983
67	217	2979
68	220	2971
69	223	2967
70	226	2961
71	229	2955
72	232	2950
73	235	2946
74	238	2942
75	241	2938
76	244	2934
77	248	2932
78	251	2928
79	254	2925
80	257	2923
81	260	2921
82	264	2920
83	267	2915
84	270	2911
85	273	2906
86	276	2901
87	279	2896
88	282	2892
89	285	2886
90	288	2880
91	291	2874
92	294	2868
93	296	2860
94	299	2854
95	302	2849
96	305	2844
97	308	2839
98	311	2834
99	314	2830
100	317	2824
101	320	2818
102	323	2813
103	325	2807
104	328	2801
105	331	2796
106	334	2792
107	337	2787
108	340	2781
109	343	2776
110	345	2770
111	348	2765
112	351	2759
113	354	2753
114	357	2748
115	359	2743
116	362	2738
117	365	2733
118	368	2728
119	371	2723
120	374	2718
121	377	2713
122	380	2709
123	383	2706
124	386	2703
125	389	2698
126	391	2694
127	395	2691
128	397	2687
129	400	2682
130	403	2676
131	406	2671
132	408	2666
133	411	2661
134	414	2656
135	417	2652
136	420	2648
137	423	2643
138	426	2639
139	428	2634
140	431	2630
141	434	2625
142	437	2620
143	440	2616
144	443	2612
145	445	2608
146	448	2603
147	451	2599
148	454	2595
149	457	2591
150	460	2587
151	463	2583
152	465	2579
153	468	2575
154	471	2571
155	474	2567
156	477	2563
157	480	2560
158	483	2556
159	486	2551
160	488	2547
161	491	2543
162	494	2538
163	497	2535
164	500	2531
165	503	2527
166	505	2523
167	508	2520
168	511	2516
169	514	2512
170	517	2510
171	520	2506
172	523	2502
173	526	2498
174	529	2495
175	532	2491
176	534	2486
177	537	2482
178	540	2478
179	543	2474
180	546	2470
181	548	2466
182	551	2463
183	554	2459
184	557	2455
185	560	2452
186	563	2448
187	566	2445
188	569	2441
189	571	2437
190	574	2433
191	577	2431
192	581	2430
193	584	2429
194	587	2426
195	590	2422
196	593	2419
197	596	2415
198	599	2411
199	601	2407
200	604	2404
201	607	2400
202	610	2397
203	613	2393
204	616	2390
205	619	2387
206	620	2376
207	623	2373
208	626	2369
209	629	2366
210	631	2362
211	634	2358
212	637	2355
213	640	2351
214	643	2348
215	645	2344
216	648	2340
217	651	2337
218	654	2333
219	657	2329
220	660	2326
221	662	2322
222	665	2319
223	668	2316
224	671	2312
225	674	2309
226	677	2306
227	680	2302
228	683	2299
229	685	2296
230	688	2293
231	691	2290
232	694	2287
233	697	2283
234	700	2280
235	703	2276
236	706	2273
237	709	2270
238	711	2266
239	714	2263
240	717	2260
241	720	2256
242	723	2253
243	726	2249
244	729	2246
245	731	2243
246	734	2240
247	737	2237
248	740	2234
249	743	2231
250	746	2228
251	749	2224
252	752	2221
253	755	2217
254	757	2214
255	761	2211
256	763	2208
257	766	2205
258	769	2201
259	772	2198
260	775	2195
261	778	2192
262	781	2188
263	783	2185
264	786	2182
265	789	2179
266	792	2176
267	795	2172
268	798	2169
269	800	2165
270	803	2161
271	806	2158
272	809	2155
273	812	2153
274	815	2150
275	818	2146
276	821	2143
277	824	2140
278	827	2137
279	830	2134
280	832	2131
281	835	2128
282	838	2125
283	841	2121
284	844	2118
285	847	2115
286	850	2112
287	853	2108
288	855	2105
289	858	2102
290	861	2099
291	864	2095
292	867	2092
293	870	2089
294	872	2086
295	875	2083
296	878	2079
297	881	2076
298	884	2073
299	887	2069
300	889	2066
301	892	2063
302	896	2061
303	899	2058
304	902	2055
305	904	2052
306	907	2048
307	910	2045
308	913	2042
309	916	2039
310	918	2035
311	921	2033
312	924	2029
313	927	2027
314	930	2024
315	933	2020
316	936	2017
317	939	2014
318	942	2011
319	945	2008
320	948	2005
321	950	2001
322	953	1998
323	956	1995
324	959	1992
325	962	1989
326	965	1986
327	968	1983
328	970	1980
329	973	1977
330	976	1974
331	979	1970
332	982	1967
333	985	1964
334	988	1961
335	991	1958
336	993	1955
337	996	1952
338	999	1949
339	1002	1946
340	1005	1943
341	1008	1940
342	1011	1937
343	1014	1933
344	1016	1930
345	1019	1927
346	1022	1924
347	1025	1921
348	1028	1918
349	1031	1915
350	1034	1912
351	1037	1909
352	1039	1905
353	1042	1902
354	1045	1899
355	1048	1896
356	1051	1893
357	1054	1890
358	1057	1887
359	1059	1884
360	1062	1881
361	1065	1878
362	1068	1875
363	1071	1872
364	1074	1868
365	1077	1866
366	1080	1864
367	1083	1861
368	1087	1859
369	1090	1856
370	1093	1854
371	1096	1851
372	1099	1848
373	1102	1845
374	1105	1842
375	1108	1839
376	1111	1837
377	1114	1833
378	1117	1830
379	1120	1827
380	1123	1824
381	1126	1821
382	1129	1818
383	1131	1815
384	1134	1812
385	1137	1809
386	1140	1806
387	1143	1803
388	1146	1800
389	1149	1797
390	1152	1794
391	1155	1791
392	1157	1788
393	1160	1785
394	1163	1782
395	1166	1779
396	1169	1776
397	1172	1773
398	1175	1769
399	1177	1766
400	1180	1763
401	1183	1760
402	1186	1757
403	1189	1754
404	1192	1751
405	1195	1748
406	1198	1745
407	1200	1742
408	1203	1739
409	1206	1736
410	1209	1733
411	1212	1730
412	1215	1727
413	1218	1724
414	1220	1720
415	1223	1717
416	1226	1714
417	1229	1711
418	1232	1708
419	1235	1705
420	1237	1702
421	1240	1699
422	1243	1696
423	1246	1693
424	1249	1690
425	1252	1687
426	1255	1684
427	1257	1681
428	1260	1678
429	1263	1675
430	1266	1672
431	1269	1668
432	1272	1665
433	1275	1663
434	1278	1660
435	1281	1657
436	1283	1654
437	1286	1650
438	1289	1647
439	1292	1644
440	1295	1641
441	1298	1638
442	1300	1635
443	1303	1632
444	1306	1629
445	1309	1626
446	1312	1623
447	1315	1620
448	1318	1617
449	1321	1614
450	1323	1611
451	1326	1608
452	1329	1605
453	1332	1602
454	1335	1599
455	1338	1596
456	1341	1593
457	1343	1590
458	1346	1587
459	1349	1584
460	1352	1581
461	1355	1578
462	1357	1574
463	1360	1571
464	1363	1568
465	1366	1566
466	1369	1563
467	1372	1559
468	1375	1556
469	1377	1553
470	1380	1550
471	1383	1547
472	1386	1544
473	1389	1541
474	1392	1538
475	1394	1535
476	1397	1532
477	1400	1529
478	1403	1526
479	1406	1523
480	1408	1520
481	1411	1517
482	1414	1514
483	1417	1511
484	1420	1508
485	1423	1505
486	1426	1502
487	1429	1499
488	1432	1496
489	1434	1493
490	1437	1490
491	1440	1487
492	1443	1484
493	1446	1481
494	1449	1478
495	1452	1475
496	1454	1472
497	1457	1469
498	1460	1466
499	1463	1463
500	1466	1460
501	1469	1457
502	1472	1454
503	1475	1451
504	1478	1448
505	1481	1445
506	1483	1442
507	1486	1440
508	1489	1436
509	1492	1434
510	1495	1431
511	1498	1428
512	1501	1425
513	1504	1422
514	1507	1419
515	1510	1416
516	1513	1413
517	1515	1410
518	1518	1407
519	1521	1404
520	1525	1402
521	1527	1399
522	1530	1396
523	1534	1393
524	1537	1391
525	1541	1389
526	1544	1386
527	1547	1383
528	1550	1380
529	1553	1377
530	1556	1374
531	1559	1371
532	1562	1369
533	1565	1366
534	1569	1363
535	1572	1361
536	1575	1358
537	1578	1355
538	1582	1353
539	1585	1350
540	1588	1348
541	1592	1345
542	1595	1342
543	1598	1340
544	1602	1337
545	1605	1334
546	1608	1331
547	1611	1329
548	1614	1326
549	1618	1323
550	1621	1321
551	1624	1318
552	1627	1315
553	1629	1312
554	1632	1309
555	1636	1306
556	1639	1303
557	1642	1301
558	1645	1298
559	1648	1295
560	1651	1292
561	1654	1289
562	1658	1287
563	1661	1284
564	1664	1281
565	1667	1278
566	1670	1276
567	1674	1273
568	1677	1270
569	1680	1267
570	1683	1264
571	1686	1261
572	1689	1259
573	1692	1256
574	1695	1253
575	1698	1250
576	1702	1247
577	1705	1245
578	1708	1242
579	1711	1239
580	1714	1236
581	1717	1233
582	1720	1230
583	1723	1227
584	1727	1225
585	1730	1222
586	1733	1219
587	1736	1216
588	1739	1213
589	1742	1210
590	1745	1208
591	1748	1205
592	1752	1202
593	1755	1199
594	1758	1197
595	1761	1194
596	1764	1191
597	1767	1188
598	1770	1185
599	1774	1182
600	1777	1179
601	1780	1176
602	1783	1174
603	1786	1171
604	1789	1168
605	1793	1165
606	1796	1162
607	1799	1160
608	1802	1157
609	1805	1154
610	1808	1151
611	1812	1148
612	1815	1146
613	1818	1143
614	1821	1140
615	1825	1137
616	1828	1134
617	1831	1132
618	1834	1129
619	1837	1126
620	1840	1123
621	1843	1120
622	1847	1117
623	1850	1114
624	1853	1112
625	1856	1109
626	1860	1106
627	1863	1103
628	1865	1100
629	1869	1097
630	1872	1095
631	1875	1092
632	1879	1089
633	1881	1086
634	1885	1083
635	1888	1080
636	1891	1077
637	1895	1075
638	1898	1072
639	1902	1070
640	1905	1067
641	1908	1064
642	1911	1061
643	1914	1058
644	1917	1055
645	1920	1052
646	1923	1049
647	1926	1046
648	1929	1043
649	1932	1040
650	1935	1037
651	1938	1034
652	1941	1031
653	1944	1028
654	1947	1025
655	1950	1022
656	1952	1019
657	1955	1016
658	1958	1013
659	1961	1010
660	1964	1007
661	1967	1004
662	1971	1001
663	1974	999
664	1977	996
665	1981	993
666	1984	990
667	1987	987
668	1990	985
669	1993	982
670	1997	979
671	2000	976
672	2003	973
673	2006	970
674	2009	967
675	2012	964
676	2016	961
677	2019	959
678	2022	956
679	2026	953
680	2029	950
681	2032	947
682	2036	945
683	2039	942
684	2042	939
685	2045	936
686	2048	933
687	2051	930
688	2054	927
689	2057	924
690	2060	921
691	2063	918
692	2066	915
693	2069	912
694	2073	909
695	2076	906
696	2079	903
697	2082	901
698	2085	898
699	2088	895
700	2091	892
701	2095	889
702	2098	886
703	2101	883
704	2104	880
705	2108	877
706	2111	874
707	2114	872
708	2117	869
709	2120	866
710	2123	863
711	2126	860
712	2130	857
713	2133	854
714	2136	851
715	2139	848
716	2142	845
717	2146	842
718	2148	839
719	2152	836
720	2155	834
721	2158	830
722	2161	828
723	2164	825
724	2167	822
725	2170	819
726	2173	816
727	2177	813
728	2180	810
729	2183	807
730	2186	804
731	2189	801
732	2192	798
733	2195	795
734	2199	792
735	2202	790
736	2205	787
737	2208	784
738	2212	781
739	2215	778
740	2218	775
741	2221	772
742	2224	769
743	2227	766
744	2230	763
745	2233	760
746	2236	757
747	2239	754
748	2242	751
749	2245	748
750	2248	745
751	2251	742
752	2255	739
753	2258	736
754	2261	733
755	2264	730
756	2267	727
757	2271	725
758	2274	722
759	2277	719
760	2281	716
761	2284	713
762	2287	710
763	2290	707
764	2294	704
765	2297	701
766	2300	698
767	2304	696
768	2307	693
769	2310	690
770	2314	687
771	2317	684
772	2320	681
773	2323	678
774	2327	675
775	2330	672
776	2333	669
777	2336	666
778	2339	663
779	2342	660
780	2345	657
781	2348	654
782	2351	651
783	2354	648
784	2357	645
785	2360	642
786	2364	639
787	2367	636
788	2370	633
789	2374	631
790	2377	628
791	2380	625
792	2383	622
793	2386	619
794	2389	616
795	2393	613
796	2396	610
797	2399	607
798	2402	604
799	2405	601
800	2409	598
801	2412	595
802	2415	592
803	2418	589
804	2422	586
805	2425	583
806	2428	580
807	2431	577
808	2435	574
809	2438	571
810	2441	568
811	2444	566
812	2448	563
813	2451	560
814	2455	557
815	2458	554
816	2461	551
817	2464	548
818	2468	545
819	2471	542
820	2474	539
821	2477	536
822	2480	533
823	2483	530
824	2486	527
825	2489	524
826	2492	521
827	2495	518
828	2499	515
829	2502	512
830	2505	509
831	2508	506
832	2511	503
833	2514	500
834	2517	497
835	2520	494
836	2523	491
837	2526	488
838	2530	485
839	2532	482
840	2535	479
841	2539	476
842	2542	473
843	2545	470
844	2548	467
845	2552	464
846	2555	461
847	2558	458
848	2561	455
849	2564	452
850	2567	449
851	2570	446
852	2573	443
853	2576	440
854	2580	437
855	2583	434
856	2586	431
857	2589	428
858	2592	425
859	2595	422
860	2599	419
861	2602	416
862	2604	413
863	2608	410
864	2611	407
865	2614	404
866	2617	401
867	2620	398
868	2623	395
869	2626	392
870	2629	389
871	2633	386
872	2635	383
873	2638	380
874	2642	377
875	2645	374
876	2648	371
877	2651	368
878	2655	365
879	2658	362
880	2661	359
881	2664	356
882	2667	353
883	2670	350
884	2673	347
885	2676	344
886	2680	341
887	2683	338
888	2687	335
889	2690	332
890	2693	329
891	2696	326
892	2699	323
893	2702	320
894	2705	317
895	2709	314
896	2712	311
897	2715	308
898	2719	305
899	2722	302
900	2725	299
901	2728	296
902	2731	293
903	2734	290
904	2738	287
905	2741	284
906	2744	281
907	2747	278
908	2750	275
909	2754	272
910	2757	269
911	2760	266
912	2763	263
913	2766	260
914	2769	257
915	2773	254
916	2776	251
917	2778	248
918	2781	245
919	2784	242
920	2788	239
921	2791	236
922	2794	233
923	2797	230
924	2800	227
925	2803	224
926	2807	221
927	2810	218
928	2813	215
929	2816	211
930	2819	208
931	2823	205
932	2825	202
933	2829	199
934	2832	196
935	2835	193
936	2838	190
937	2841	187
938	2844	184
939	2847	181
940	2850	178
941	2853	175
942	2856	172
943	2859	169
944	2862	166
945	2865	163
946	2869	160
947	2872	157
948	2875	154
949	2879	151
950	2882	148
951	2885	145
952	2888	142
953	2891	139
954	2894	136
955	2898	133
956	2901	130
957	2904	127
958	2907	124
959	2910	121
960	2913	118
961	2917	115
962	2920	112
963	2923	109
964	2926	106
965	2929	103
966	2932	100
967	2935	97
968	2938	94
969	2941	90
970	2944	87
971	2947	84
972	2950	81
973	2953	78
974	2956	75
975	2959	72
976	2963	69
977	2966	66
978	2969	63
979	2972	60
980	2976	57
981	2979	54
982	2982	51
983	2985	48
984	2988	45
985	2991	42
986	2994	39
987	2997	36
988	3000	33
989	3004	30
990	3007	27
991	3009	24
992	3012	21
993	3015	18
994	3018	15
995	3021	12
996	3025	9
997	3028	6
998	3030	3
999	3034	0
